"","","","","","60"," Alchemical Hydra ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"22975","","","","923,134","4"," brimstone  (1, 4, 7, 10, 13) ","","x","x","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","x","","","x","","","","","","x","","","","",""
"22975","","","","923,134","4"," brimstone  (2, 5, 8, 11, 14) ","","x","x","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","x","","","","","","","","","x","","","","",""
"22975","","","","923,134","4"," brimstone  (3, 6, 9, 12, 15) ","","x","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","","","","","","","","","","","","","","",""
"","","","","","6"," hydra heads ","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x",""
"22988","","","","101,806","16"," hydra tail ","","x","","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","","","","x","","","","","","x","x","","","",""
"22983","","","","13,004,615","16"," hydra leather ","","x","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","","","","x","x","x","","","","","","","","",""
"22966","","","","52,004,552","30"," hydra claw ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","x","x","","","","","","","","","","","","",""
"23064","","","","67,777","30"," jar of chemicals (bonus) ","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","45"," pet (bonus) ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","50"," Gauntlet ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","",""
"4207","","","","413,926","6"," weapon seed ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","x","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"23956","","","","6,172,707","6"," armour seed ","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"25859","","","","136,280,411","50"," enhanced weapon ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","",""
"","","","","","50"," pet (bonus) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","40"," Barrows Brothers ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"","","","","","4"," Ahrim ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"4708","","","","380,666","2"," hood ","","x","x","x","x","","","x","x","x","x","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"4712","","","","1,579,765","2"," robetop ","","x","x","x","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","","","","","x","x","x","x","x","","x","x","","","",""
"4714","","","","1,669,317","2"," robeskirt ","","x","x","x","x","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","x","x","x","","x","x","","","","","x","","","","",""
"4710","","","","166,902","2"," staff ","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","x","x","x","","x","","","","","","","","","","",""
"","","","","","4"," Dharok ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","x","","","x","","","","","","","","","","",""
"4716","","","","320,699","2"," helm ","","","","","","","","x","x","x","x","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","","","x","x","x","x","x","","x","","","","","","","","","","",""
"4720","","","","913,961","2"," platebody ","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"4722","","","","962,187","2"," platelegs ","","x","x","x","x","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","","","x","","","","","","x","","","","",""
"4718","","","","1,972,444","2"," greataxe ","","x","x","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","x","","","","","x","x","x","x","","","x","x","x","","","","x","x","x","","",""
"","","","","","4"," Guthan ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","x","x","","","","","","","","",""
"4724","","","","202,480","2"," helm ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","","","","","x","x","x","","","","","","","","",""
"4728","","","","246,592","2"," platebody ","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","x","x","","x","x","x","","","","x","x","","","",""
"4730","","","","204,455","2"," chainskirt ","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","","","x","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","","","x","x","x","","","","","","","","",""
"4726","","","","88,564","2"," warspear ","","x","x","","","","","x","x","x","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","","","","x","x","x","x","","","","","","","",""
"","","","","","4"," Karil ","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","x","x","","","x","","","","","","","","","","",""
"4732","","","","63,745","2"," coif ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","x","x","x","","x","","","","","","","","","","",""
"4736","","","","1,012,786","2"," leathertop ","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","x","","x","x","x","","","","","","","","",""
"4738","","","","440,727","2"," leatherskirt ","","x","x","x","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","x","x","x","x","x","","x","x","x","","","","","","","","",""
"4734","","","","99,911","2"," crossbow ","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","","","x","x","x","","","","x","x","","","",""
"","","","","","4"," Torag ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","","","","","",""
"4745","","","","168,125","2"," helm ","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"4749","","","","276,707","2"," platebody ","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","x","x","","","","","","","","",""
"4751","","","","314,799","2"," platelegs ","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","",""
"4747","","","","97,394","2"," hammers ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","x","","x","","","","","","x","","","","",""
"","","","","","4"," Verac ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"4753","","","","145,134","2"," helm ","","x","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"4757","","","","172,317","2"," brassard ","","","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"4759","","","","338,802","2"," plateskirt ","","x","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"4755","","","","96,871","2"," flail ","","x","","","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","x","","","","",""
"","","","","","10"," Scurrius ","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","","","x","","","","",""
"","","","","","1"," spine  (1, 6, 11, 16, 21) ","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","","","x","x","","","",""
"","","","","","1"," spine  (2, 7, 12, 17, 22) ","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","","","x","x","","","",""
"","","","","","1"," spine  (3, 8, 13, 18, 23) ","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","","","x","","","","",""
"","","","","","1"," spine  (4, 9, 14, 19, 24) ","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","","","x","","","","",""
"","","","","","1"," spine  (5, 10, 15, 20, 25) ","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","","","","x","","","","",""
"","","","","","15"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","20"," Moons of Peril ","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"","","","","","4"," Eclipse Moon ","","","","","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","x","","x","x","x","","","","x","x","","","","","","","","","",""
"29000","","","","1,634,984","1"," eclipse moon (1, 5, 9, 13, 17) ","","","","","","","","x","x","x","x","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","x","","","","x","x","x","","","","x","x","x","","","","x","","","","",""
"29004","","","","1,634,984","1"," eclipse moon (2, 6, 10, 14, 18) ","","","","","","","","x","x","x","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","x","x","x","","","","x","x","x","","","","x","x","","","","","x","","","","",""
"29010","","","","1,634,984","1"," eclipse moon (3, 7, 11, 15, 19) ","","","","","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"29007","","","","1,634,984","1"," eclipse moon (4, 8, 12, 16, 20) ","","","","","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"","","","","","4"," Blood Moon ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","x","x","","","","","x","x","","","","","","","","","",""
"28997","","","","4,803,915","1"," blood moon (1, 5, 9, 13, 17) ","","x","","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","x","x","x","","","","x","x","x","","","","x","","","","",""
"29022","","","","4,803,915","1"," blood moon (2, 6, 10, 14, 18) ","","x","","","","","","x","x","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","x","x","","","","","x","x","x","","","","x","","","","",""
"29028","","","","4,803,915","1"," blood moon (3, 7, 11, 15, 19) ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","x","x","","","","","x","x","x","","","","x","","","","",""
"29025","","","","4,803,915","1"," blood moon (4, 8, 12, 16, 20) ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","x","x","","","","","x","x","","","","","","","","","",""
"","","","","","4"," Blue Moon ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"28988","","","","1,664,256","1"," blue moon (1, 5, 9, 13, 17) ","","x","x","","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"29013","","","","1,664,256","1"," blue moon (2, 6, 10, 14, 18) ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","x","","","","x","x","","","","","","","","","",""
"29019","","","","1,664,256","1"," blue moon (3, 7, 11, 15, 19) ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"29016","","","","1,664,256","1"," blue moon (4, 8, 12, 16, 20) ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"","","","","","30"," Fortis Colosseum ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","x","","","","x","","","","","","","","","","","","","","","","",""
"29084","","","","72,637","3"," echo crystal ","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","","","","","","","","","","","","","",""
"","","","","","0"," sunfire (1, 4, 7, 10, 13) ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","x","x","","","x","","","","","","","","","","","","","","","","",""
"","","","","","0"," sunfire (2, 5, 8, 11, 14) ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","x","x","","","x","","","","","","","","","","","","","","","","",""
"","","","","","0"," sunfire (3, 6, 9, 12, 15) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","x","","","","x","","","","","","","","","","","","","","","","",""
"28933","","","","1,470,014","5"," sunfire helm (bonus) ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","x","x","x","x","","x","","","","","","","","","","","","","","","","",""
"28936","","","","2,661,417","5"," sunfire cuirass (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","x","x","","","x","x","","","","","","","","","","","","","","","",""
"28939","","","","2,910,978","5"," sunfire chausses (bonus) ","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","","","","","","","","","","","","","",""
"28919","","","","52,066,059","18"," tonalztics of ralos ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","x","","","","","","","","","","","","","","","","","","","","",""
"","","","","","10"," Elder Chaos Druid ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"20595","","","","203,203","3"," elder chaos hood ","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","",""
"20520","","","","213,046","3"," elder chaos top ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"20517","","","","203,825","3"," elder chaos robe  ","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","","","","","","","","",""
"","","","","","10"," Tormented Demon ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29580","","","","33,965,709","4"," synapse  (1, 3, 5, 7, 9) ","","x","x","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","x","x","x","","","","x","","","","",""
"29580","","","","33,965,709","4"," synapse  (2, 4, 6, 8, 10) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","",""
"29574","","","","2,091,928","4"," bone claw  (1, 3, 5, 7, 9) ","","x","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","x","x","","","",""
"29574","","","","2,091,928","4"," bone claw  (2, 4, 6, 8, 10) ","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","",""
"","","","","","80"," Chambers of Xeric ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21079","","","","5,143,230","4"," arcane prayer scroll ","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","x","","","","","","","","",""
"21034","","","","16,165,766","4"," dexterous prayer scroll ","","x","x","x","x","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"21000","","","","17,699,187","12"," twister buckler ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21012","","","","37,937,924","12"," dragon hunter crossbow ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","0"," any rare  (1, 3, 5, 7, 9) ","","x","x","x","x","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","","","","","x","","","","","","x","","","","",""
"","","","","","0"," any rare  (2, 4, 6, 8, 10) ","","x","x","x","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","","","","","","","x","","","","",""
"","","","","","0"," any megarare ","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"21015","","","","13,858,986","20"," dinh's bulwark (bonus) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13652","","","","39,676,327","20"," dragon claws (bonus) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"21018","","","","55,763,441","20"," ancestral hat (bonus) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","",""
"21021","","","","121,164,763","20"," ancestral robe top (bonus) ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"21024","","","","81,130,832","20"," ancestral robe bottom (bonus) ","","","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","","","","","","","x","","","","",""
"21003","","","","98,938,982","40"," elder maul (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"21043","","","","61,254,546","40"," kodai insignia (bonus) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"20997","","","","1,486,734,382","40"," twisted bow (bonus) ","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","20"," kit (bonus) ","","x","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","x","x","","x","x","x","x","","","","","","","",""
"","","","","","75"," dust (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"","","","","","75"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","",""
"","","","","","70"," Theater of Blood ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"22477","","","","31,110,519","8"," avernic defender hilt ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","x","x","","","","","","","","","",""
"","","","","","0"," any justiciar (1, 4, 7, 10, 13) ","","x","x","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"","","","","","0"," any justiciar (2, 5, 8, 11, 14) ","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","0"," any justiciar (3, 6, 9, 12, 15) ","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"22327","","","","9,755,146","25"," sanguinesti staff ","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","","","","","","","","","","",""
"22328","","","","9,719,827","25"," ghrazi rapier ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","",""
"22486","","","","1,296,342,309","50"," scythe of vitur ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"22326","","","","10,555,166","15"," justiciar faceguard (bonus) ","","x","x","x","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","","","","","","x","","","","","","","","","","",""
"22327","","","","9,755,146","15"," justiciar chestguard (bonus) ","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"22328","","","","9,719,827","15"," justiciar legguards (bonus) ","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","x","","","","","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","25"," ornament kit (bonus) ","","x","x","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","","","","","","","","",""
"","","","","","75"," sanguine dust (bonus) ","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","","","","","x","","","","","","x","","","","","","x","","","","","","","","","","",""
"","","","","","100"," pet (bonus) ","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","60"," Tombs of Amascut ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","","","","","","","","","","","","","","","",""
"25975","","","","3,940,661","8"," lightbearer ","","x","x","x","x","x","","x","x","x","","","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","x","","x","x","x","x","x","","","","","","",""
"26219","","","","18,420,002","8"," osmunten's fang ","","x","x","x","x","x","","x","x","x","x","","","","","","","","","x","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","x","x","x","","x","x","x","x","x","","","","","","","","x","x","","","",""
"","","","","","0"," masori (1, 4, 7, 10, 13) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","","","","",""
"","","","","","0"," masori (2, 5, 8, 11, 14) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","x","","","x","x","","","","","x","","","","",""
"","","","","","0"," masori (3, 6, 9, 12, 15) ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","","","","x","x","","","","","x","","","","",""
"27232","","","","29,303,916","25"," elidinis' ward ","","x","x","","","","","x","x","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","","","","","","x","","","","",""
"27277","","","","820,704,636","50"," tumeken's shadow ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","","","","","","","","","","","","","","","",""
"","","","","","10"," any jewel (bonus) ","","x","","","","","","x","x","","","","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","x","x","x","x","","","x","x","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x",""
"27226","","","","10,984,633","15"," masori mask (bonus) ","","x","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","","","","","x","x","","","","","","","","","",""
"27229","","","","42,269,538","15"," masori body (bonus) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","x","","","","","x","x","x","x","","","x","x","x","","","","x","","","","",""
"27232","","","","29,303,916","15"," masori chaps (bonus) ","","x","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","","","",""
